time_s,head_px,head_py,head_pz,head_qx,head_qy,head_qz,head_qw,gaze_px,gaze_py,gaze_pz,gaze_dx,gaze_dy,gaze_dz
4.369597,-0.000246,-0.001746,0.001665,0.017536,-0.000391,0.000883,0.999846,0.000778,0.002935,0.005734,0.024008,0.030143,0.999257
4.386711,-0.000297,-0.001700,0.001535,0.018206,-0.000750,0.000508,0.999834,0.000778,0.002831,0.005789,0.022140,0.029939,0.999307
4.419871,-0.000236,-0.001442,0.001315,0.018637,-0.001070,0.000154,0.999826,0.000728,0.002550,0.005654,0.021780,0.036001,0.999114
4.436717,-0.000330,-0.001295,0.001107,0.018465,-0.000997,0.000053,0.999829,0.000694,0.002426,0.005602,0.026717,0.023865,0.999358
4.453401,-0.000350,-0.000966,0.001006,0.018088,-0.000763,0.000093,0.999836,0.000624,0.002383,0.005483,0.025911,0.028035,0.999271
4.470177,-0.000285,-0.000833,0.000954,0.017479,-0.000606,0.000247,0.999847,0.000705,0.002525,0.005370,-0.001247,-0.019501,0.999809
4.503001,-0.000406,-0.000534,0.000796,0.015927,-0.000347,0.000920,0.999873,0.000760,0.002767,0.005255,-0.000389,-0.020554,0.999789
4.519997,-0.000432,-0.000747,0.000807,0.015028,-0.000481,0.001403,0.999886,0.000757,0.002980,0.005106,0.009226,0.004021,0.999949
4.553350,-0.000643,-0.001189,0.000599,0.014322,-0.001222,0.002365,0.999894,0.000601,0.003166,0.004928,0.013306,0.010651,0.999855
4.586724,-0.000794,-0.001318,0.000604,0.014876,-0.002042,0.002465,0.999884,0.000440,0.003151,0.004867,0.010184,0.018970,0.999768
4.603652,-0.000821,-0.001262,0.000603,0.015353,-0.002326,0.002191,0.999877,-0.000335,0.002823,0.004790,-0.004745,0.049312,0.998772
4.687089,-0.001119,-0.000568,0.000494,0.015403,-0.001974,0.001884,0.999878,-0.001264,0.001942,0.004797,-0.059699,0.104033,0.992781
4.820352,-0.001377,-0.001184,0.000647,0.015263,-0.002743,0.002231,0.999877,0.001607,0.001206,0.005073,-0.286487,0.320514,0.902882
4.853999,-0.001306,-0.001040,0.000687,0.015925,-0.002725,0.001359,0.999869,0.001511,0.001002,0.005068,-0.282361,0.317746,0.905157
4.970872,-0.000927,-0.001128,0.001103,0.013932,-0.001527,0.001283,0.999901,0.002809,-0.000123,0.005934,-0.206685,0.308707,0.928429
5.020721,-0.000702,-0.001435,0.001110,0.015415,-0.001441,0.000686,0.999880,0.003001,-0.000235,0.005992,-0.186428,0.300740,0.935308
5.037586,-0.000742,-0.001278,0.001113,0.016039,-0.001516,0.000496,0.999870,0.003269,-0.000553,0.006158,-0.203305,0.309918,0.928772
5.070815,-0.000762,-0.001083,0.001146,0.016610,-0.001412,0.000213,0.999861,0.003536,-0.001066,0.006353,-0.241298,0.353076,0.903943
